0,o
2loy,tuloy
2luyan,tuluyan
abutn,abutin
anq,ang
anu,ano
aq,ako
atlest,at least
awayn,awayin
b,ba
bbagyo,babagyo
bcos,because
bcoz,because
bgay,bagay
bgyo,bagyo
bgyong,bagyong
bhala,bahala
bhay,bahay
bk8,bakit
bka,baka
bkt,bakit
bqyo,bagyo
bta,bata
bwat,bawat
c,si
c0mplain,complain
c0ntr0l,control
cgro,siguro
cguro,siguro
cia,siya
cignal,signal
cla,sila
cmula,simula
cnabi,sinabi
d,di
d2,dito
da,the
dahel,dahil
dahl,dahil
dba,diba
dhil,dahil
dn,din
dnt,dont
donot,do not
dpat,dapat
dretso,diretso
drtso,diretso
ds,this
dto,dito
dyn,diyan
dyos,diyos
esave,isave
f0r,for
frm,from
gbi,gabi
ggwin,gagawin
gnabi,ginabi
gnagawa,ginagawa
gnawa,ginawa
gnyan,ganyan
gr8,great
gud,good
gvi,gabi
gwa,gawa
h0pe,hope
habng,habang
hangn,hangin
hnd,hindi
hndi,hindi
hnggng,hanggang
hwag,huwag
i layo,ilayo
i2,ito
ibg,ibig
icp,isip
ingt,ingat
iniicp,iniisip
ipag dasal,ipagdasal
jan,diyan
jn,diyan
k,ka
kaba,ka ba
kailngan,kailangan
kakatpoz,kakatapos
kana,ka na
kania,kanya
kau,kayo
kawa2,kawawa
kc,kasi
kci,kasi
kelangan,kailangan
khit,kahit
kkilabot,kakakilabot
kla,kala
kme,kami
kn,ka na
kna,ka na
kng,kung
kp,ka pa
kphmakan,kapahamakan
ksma,kasama
ktabi,katabi
kun,kung
kya,kaya
la2ki,lalaki
lage,lagi
lhat,lahat
lht,lahat
lng,lang
m,mo
m0rning,morning
ma2loy,matuloy
maapek2han,maapektuhan
maapktuhan,maapektuhan
mageng,maging
magkakat0t0o,magkatotoo
magpasalamt,magpasalamat
maherap,mahirap
malasakt,malasakit
matu2naw,matutunaw
mbahaan,mabahaan
mejo,medyo
mg,mag
mganda,maganda
mggwa,magagawa
mgiingt,magiingat
mging,maging
mgingt,magingat
mgkr0n,magkaroon
mgppkampante,magpapakampante
mgppsko,magpapasko
mgpray,magpray
mgsalita,magsalita
mgsi2datingan,magsisidatingan
mhal,mahal
mkasalanan,makasalanan
mkitd,makitid
mla2gay,malalagay
mlaki,malaki
mlapit,malapit
mlyo,malayo
mmukhang,mumukhang
mn,man
morng,morning
mphmak,mapahamak
mrami,marami
mrnsn,maranasan
ms,mas
msaktan,masaktan
msama,masama
msira,masira
mskit,masakit
msktan,masaktan
msma,masama
msyado,masyado
mtitikman,matitikman
mtmaan,matamaan
mttgas,matitigas
mttmaan,matatamaan
mu,mo
mwalan,mawalan
mwla,mawala
my,may
n,na
n0body,nobody
nabgyo,nabagyo
nagdul0t,nagdulot
naghi2ntay,naghihintay
nagppakita,nagpapakita
nah,na
naka2,nakaka
nakkita,nakikita
naleto,nalito
nalng,nalang
namn,namin
nangya2ri,nangyayari
nappagod,napapagod
nd,hindi
ne,ni
nea,niya
ngaalala,nagaalala
ngaun,ngayon
ngdadasal,nagdadasal
ngyari,nangyari
ngyri,nangyari
ngyun,ngayon
ngyyri,nangyayari
nio,niyo
nka2bangon,nakakabangon
nkkawa,nakakaawa
nkktkt,nakakatakot
nkraang,nakaraang
nku,nako
nl,nila
nla,nila
nlng,nalang
nman,naman
nmang,namang
nmen,namin
nmn,naman
nnaman,na naman
nnamn,na naman
nngailngn,nangangailangan
npapakinggan,napapakinggan
nrin,na rin
nring,na ring
nsa,nasa
nsabi,nasabi
ntin,natin
nttwa,natatawa
nwln,nawalan
nyan,niyan
nyo,niyo
p,pa
paba2yaan,pababayaan
pangin0on,panginoon
paraw,pa raw
pask0,pasko
pba,pa ba
pbyaan,pabayaan
pde,pwede
pdin,pa din
pede,pwede
pg,pag
pinaki2nggan,pinakikinggan
pla,pala
plage,palagi
plng,pa lang
pls,please
plz,please
pmilya,pamilya
pmlya,pamilya
pnapnalangin,pinapanalangin
png,pang
pngssbi,pinagsasabi
poceblidad,posibilidad
poe,po
ppbyaan,papabayaan
pptak,papatak
pra,para
pring,pa ring
prn,pa rin
prng,parang
pro,pero
ptak,patak
pwd,pwede
pwdi,pwede
q,ko
qna,ka na
r,are
rgard,regard
s,sa
sabagay,sa bagay
sainyo,sa inyo
samen,sa amin
samin,sa amin
savi,sabi
sbay,sabay
sbihin,sabihin
sbuhay,sa buhay
sby,sabay
sgnal,signal
slmt,salamat
smahan,samahan
smen,sa amin
smin,sa amin
sna,sana
snsabi,sinasabi
su2nod,susunod
svi,sabi
t0,to
tatma,tatama
tau,tayo
teu,tayo
tga,taga
thanxs,thanks
thnks,thanks
tkot,takot
tlg,talaga
tluyan,tuluyan
tnx,thanks
tska,tsaka
ttma,tatama
tulongan,tulungan
twla,tiwala
ty0,tayo
tym,time
tyong,tayong
uag,huwag
ult,ulit
ultin,ulitin
umaarw,umaaraw
un,yun
ur,your
walng,walang
wg,wag
wkas,wakas
wla,wala
xa,sa
xabi,sabi
yan,yan
yn,yan
yta,yata